959.669000,0,0.338867
959.669000,1,0.225586
959.669000,2,0.291992
959.669000,3,0.267578
959.669000,4,0.196289
959.669000,5,0.158203
959.669000,6,0.129883
959.673000,7,0.335938
959.673000,8,0.337891
959.673000,9,0.184570
959.673000,10,0.285156
959.673000,11,0.228516
959.673000,12,0.081055
959.674000,13,0.201172
959.677000,0,0.337891
959.677000,1,0.226562
959.677000,2,0.291992
959.678000,3,0.267578
959.678000,4,0.196289
959.678000,5,0.158203
959.678000,6,0.129883
959.682000,7,0.335938
959.682000,8,0.338867
959.682000,9,0.185547
959.682000,10,0.285156
959.682000,11,0.227539
959.682000,12,0.083008
959.682000,13,0.202148
959.686000,0,0.338867
959.686000,1,0.225586
959.686000,2,0.291992
959.686000,3,0.268555
959.686000,4,0.196289
959.687000,5,0.161133
959.687000,6,0.128906
959.690000,7,0.335938
959.690000,8,0.338867
959.691000,9,0.184570
959.691000,10,0.285156
959.691000,11,0.227539
959.691000,12,0.082031
959.691000,13,0.202148
959.695000,0,0.337891
959.695000,1,0.225586
959.695000,2,0.291992
959.695000,3,0.267578
959.695000,4,0.197266
959.695000,5,0.161133
959.695000,6,0.128906
959.699000,7,0.335938
959.699000,8,0.338867
959.699000,9,0.184570
959.699000,10,0.285156
959.699000,11,0.228516
959.700000,12,0.083008
959.700000,13,0.202148
959.703000,0,0.336914
959.703000,1,0.224609
959.704000,2,0.291992
959.704000,3,0.266602
959.704000,4,0.196289
959.704000,5,0.160156
959.704000,6,0.129883
959.708000,7,0.335938
959.708000,8,0.339844
959.708000,9,0.185547
959.708000,10,0.285156
959.708000,11,0.227539
959.708000,12,0.081055
959.708000,13,0.203125
959.712000,0,0.337891
959.712000,1,0.225586
959.712000,2,0.291992
959.712000,3,0.267578
959.712000,4,0.196289
959.713000,5,0.159180
959.713000,6,0.128906
959.716000,7,0.336914
959.716000,8,0.338867
959.717000,9,0.184570
959.717000,10,0.286133
959.717000,11,0.228516
959.717000,12,0.080078
959.717000,13,0.201172
959.721000,0,0.337891
959.721000,1,0.224609
959.721000,2,0.291992
959.721000,3,0.267578
959.721000,4,0.197266
959.721000,5,0.161133
959.721000,6,0.128906
959.725000,7,0.335938
959.725000,8,0.338867
959.725000,9,0.186523
959.725000,10,0.285156
959.725000,11,0.227539
959.726000,12,0.080078
959.726000,13,0.203125
959.729000,0,0.337891
959.729000,1,0.225586
959.730000,2,0.291992
959.730000,3,0.267578
959.730000,4,0.197266
959.730000,5,0.161133
959.730000,6,0.128906
959.734000,7,0.335938
959.734000,8,0.337891
959.734000,9,0.184570
959.734000,10,0.285156
959.734000,11,0.229492
959.734000,12,0.081055
959.734000,13,0.202148
959.738000,0,0.336914
959.738000,1,0.224609
959.738000,2,0.291992
959.738000,3,0.267578
959.739000,4,0.196289
959.739000,5,0.161133
959.739000,6,0.129883
959.742000,7,0.335938
959.743000,8,0.338867
959.743000,9,0.185547
959.743000,10,0.285156
959.743000,11,0.228516
959.743000,12,0.082031
959.743000,13,0.204102
959.747000,0,0.337891
959.747000,1,0.225586
959.747000,2,0.291992
959.747000,3,0.267578
959.747000,4,0.196289
959.747000,5,0.159180
959.747000,6,0.128906
959.751000,7,0.335938
959.751000,8,0.338867
959.751000,9,0.185547
959.751000,10,0.285156
959.752000,11,0.227539
959.752000,12,0.083008
959.752000,13,0.203125
959.755000,0,0.338867
959.756000,1,0.225586
959.756000,2,0.291992
959.756000,3,0.268555
959.756000,4,0.196289
959.756000,5,0.158203
959.756000,6,0.128906
959.760000,7,0.335938
959.760000,8,0.338867
959.760000,9,0.183594
959.760000,10,0.286133
959.760000,11,0.229492
959.760000,12,0.082031
959.760000,13,0.202148
959.764000,0,0.337891
959.764000,1,0.225586
959.764000,2,0.291992
959.764000,3,0.268555
959.765000,4,0.198242
959.765000,5,0.159180
959.765000,6,0.128906
959.768000,7,0.335938
959.769000,8,0.338867
959.769000,9,0.184570
959.769000,10,0.285156
959.769000,11,0.228516
959.769000,12,0.083008
959.769000,13,0.201172
959.773000,0,0.337891
959.773000,1,0.224609
959.773000,2,0.291016
959.773000,3,0.267578
959.773000,4,0.197266
959.773000,5,0.159180
959.774000,6,0.128906
959.777000,7,0.335938
959.777000,8,0.338867
959.777000,9,0.184570
959.777000,10,0.285156
959.778000,11,0.227539
959.778000,12,0.083984
959.778000,13,0.203125
959.781000,0,0.338867
959.782000,1,0.225586
959.782000,2,0.291992
959.782000,3,0.267578
959.782000,4,0.195312
959.782000,5,0.158203
959.782000,6,0.129883
959.786000,7,0.335938
959.786000,8,0.338867
959.786000,9,0.185547
959.786000,10,0.286133
959.786000,11,0.227539
959.786000,12,0.083008
959.787000,13,0.202148
959.790000,0,0.338867
959.790000,1,0.225586
959.790000,2,0.291992
959.791000,3,0.268555
959.791000,4,0.197266
959.791000,5,0.157227
959.791000,6,0.128906
959.795000,7,0.335938
959.795000,8,0.338867
959.795000,9,0.184570
959.795000,10,0.286133
959.795000,11,0.228516
959.795000,12,0.083008
959.795000,13,0.202148
959.799000,0,0.338867
959.799000,1,0.225586
959.799000,2,0.291992
959.799000,3,0.266602
959.799000,4,0.195312
959.799000,5,0.156250
959.800000,6,0.129883
959.803000,7,0.335938
959.803000,8,0.338867
959.803000,9,0.185547
959.804000,10,0.286133
959.804000,11,0.227539
959.804000,12,0.083984
959.804000,13,0.203125
959.808000,0,0.338867
959.808000,1,0.225586
959.808000,2,0.291992
959.808000,3,0.268555
959.808000,4,0.196289
959.808000,5,0.157227
959.808000,6,0.128906
959.812000,7,0.335938
959.812000,8,0.338867
959.812000,9,0.184570
